country,region_name,scenario,period,stress_index,yield_loss_pct,volume_at_risk_mt,annual_mt,sourcing_pct,scenario_name,year,risk_bucket,supply_shock_pct,price_increase_pct,elasticity_multiplier,adjusted_coffee_price_usd_kg,cost_green_coffee_usd,cost_green_coffee_adjusted_usd,profit_at_risk_usd,cost_green_M,cost_green_adjusted_M,profit_at_risk_M,pct_of_total_volume,vulnerability_score,risk_category
Colombia,Huila,ssp585,mid_term,0.02080606544110924,0.01040303272055462,107.15123702171259,10300,6.0,Current Policies,2050,Low Risk (<20%),0.0006229723082657708,0.0004983778466126166,1.0004983778466126,3.5017443224631437,375029.32957599405,375216.23588568467,2210056.560803649,0.37502932957599405,0.37521623588568465,2.210056560803649,0.06229723082657708,0.01040303272055462,Low Risk (<20% loss)
Colombia,Antioquia,ssp585,mid_term,0.1720769786334131,0.08603848931670655,808.7617995770415,9400,5.5,Current Policies,2050,Low Risk (<20%),0.004702103485913032,0.0037616827887304257,1.0037616827887303,3.513165889760556,2830666.2985196454,2841314.3672154257,16681182.326625077,2.8306662985196454,2.8413143672154257,16.681182326625077,0.47021034859130323,0.08603848931670655,Low Risk (<20% loss)
Colombia,Tolima,ssp585,mid_term,0.05685532104773444,0.02842766052386722,170.56596314320333,6000,3.5,Current Policies,2050,Low Risk (<20%),0.000991662576413973,0.0007933300611311783,1.0007933300611311,3.502776655213959,596980.8710012116,597454.4738720971,3518022.1560862106,0.5969808710012116,0.597454473872097,3.518022156086211,0.09916625764139729,0.02842766052386722,Low Risk (<20% loss)
Colombia,Cauca,ssp585,mid_term,0.05680606544110924,0.02840303272055462,122.13304069838487,4300,2.5,Current Policies,2050,Low Risk (<20%),0.0007100758180138655,0.0005680606544110925,1.0005680606544112,3.5019882122904393,427465.6424443471,427708.46885693236,2519064.97198599,0.4274656424443471,0.42770846885693237,2.51906497198599,0.07100758180138655,0.02840303272055462,Low Risk (<20% loss)
Brazil,Minas Gerais Sul,ssp585,mid_term,0.10649537971187965,0.05324768985593983,729.4933510263756,13700,8.0,Current Policies,2050,Low Risk (<20%),0.004241240412944045,0.003392992330355236,1.0033929923303553,3.5118754731562434,2553226.7285923148,2561889.8073000866,15046224.488960296,2.553226728592315,2.5618898073000866,15.046224488960297,0.42412404129440445,0.05324768985593983,Low Risk (<20% loss)
Brazil,São Paulo,ssp585,mid_term,0.16380172175655025,0.08190086087827513,565.1159400600984,6900,4.0,Current Policies,2050,Low Risk (<20%),0.003285557791047084,0.002628446232837667,1.0026284462328376,3.5091995618149316,1977905.7902103444,1983104.6092335305,11655844.819518637,1.9779057902103443,1.9831046092335305,11.655844819518636,0.3285557791047084,0.08190086087827513,Low Risk (<20% loss)
Brazil,Espírito Santo,ssp585,mid_term,0.14498574463411934,0.07249287231705967,376.9629360487103,5200,3.0,Current Policies,2050,Low Risk (<20%),0.002191644977027385,0.0017533159816219082,1.0017533159816219,3.5061366059356764,1319370.276170486,1321683.5491613725,7775079.720502353,1.319370276170486,1.3216835491613725,7.775079720502354,0.21916449770273852,0.07249287231705967,Low Risk (<20% loss)
Guatemala,Huehuetenango,ssp585,mid_term,0.05013938304461772,0.02506969152230886,215.5993470918562,8600,5.0,Current Policies,2050,Low Risk (<20%),0.0012534845761154431,0.0010027876608923545,1.0010027876608925,3.5035097568131235,754597.7148214967,755354.4160988573,4446861.882227147,0.7545977148214967,0.7553544160988573,4.446861882227147,0.1253484576115443,0.02506969152230886,Low Risk (<20% loss)
Guatemala,Antigua,ssp585,mid_term,0.0681984852062073,0.03409924260310365,235.2847739614152,6900,4.0,Current Policies,2050,Low Risk (<20%),0.0013679347323338094,0.0010943477858670475,1.0010943477858671,3.503830217250535,823496.7088649531,824397.9006649684,4852885.256427423,0.8234967088649532,0.8243979006649684,4.852885256427423,0.13679347323338092,0.03409924260310365,Low Risk (<20% loss)
Guatemala,Atitlán,ssp585,mid_term,0.05954848520620726,0.02977424260310363,178.64545561862178,6000,3.5,Current Policies,2050,Low Risk (<20%),0.001038636369875708,0.0008309090959005665,1.0008309090959007,3.5029081818356524,625259.0946651762,625778.6281342282,3684666.3857710627,0.6252590946651763,0.6257786281342281,3.6846663857710626,0.10386363698757081,0.02977424260310363,Low Risk (<20% loss)
