scenario,scenario_name,year,carbon_price_usd,coverage_pct,passthrough_rate,scope_1_2_cost_M,scope_3_cost_M,total_carbon_cost_M,pct_of_revenue
ssp126,Net Zero 2050,2025,40,35.0,0.25,21.0,21.0,42.0,0.11602209944751381
ssp126,Net Zero 2050,2030,100,60.0,0.35,90.0,125.99999999999999,216.0,0.5966850828729281
ssp126,Net Zero 2050,2035,150,75.0,0.4,168.75,270.0,438.75,1.2120165745856353
ssp126,Net Zero 2050,2040,200,85.0,0.4,255.0,408.0,663.0,1.8314917127071821
ssp126,Net Zero 2050,2045,225,88.0,0.4,297.0,475.2,772.2,2.1331491712707185
ssp126,Net Zero 2050,2050,250,90.0,0.4,337.5,540.0,877.5,2.4240331491712706
ssp245,Delayed Transition,2025,20,25.0,0.2,7.5,6.0,13.5,0.037292817679558006
ssp245,Delayed Transition,2030,75,40.0,0.45,45.0,81.0,126.0,0.34806629834254144
ssp245,Delayed Transition,2035,450,70.0,0.65,472.49999999999994,1228.5,1701.0,4.698895027624309
ssp245,Delayed Transition,2040,700,85.0,0.7,892.5,2499.0,3391.5,9.36878453038674
ssp245,Delayed Transition,2045,600,88.0,0.65,792.0,2059.2,2851.2,7.876243093922652
ssp245,Delayed Transition,2050,500,90.0,0.6,675.0,1620.0,2295.0,6.339779005524862
ssp585,Current Policies,2025,15,20.0,0.15,4.5,2.7,7.2,0.01988950276243094
ssp585,Current Policies,2030,20,22.0,0.15,6.6,3.96,10.56,0.029171270718232042
ssp585,Current Policies,2035,25,25.0,0.15,9.375,5.625,15.0,0.04143646408839779
ssp585,Current Policies,2040,30,28.000000000000004,0.15,12.600000000000001,7.5600000000000005,20.160000000000004,0.05569060773480664
ssp585,Current Policies,2045,35,28.999999999999996,0.18,15.224999999999998,10.961999999999998,26.186999999999998,0.07233977900552485
ssp585,Current Policies,2050,40,30.0,0.2,18.0,14.4,32.4,0.08950276243093923
