country,region_name,scenario,period,stress_index,yield_loss_pct,volume_at_risk_mt,annual_mt,sourcing_pct,scenario_name,year,risk_bucket
Colombia,Huila,ssp126,near_term,0.021267598037607967,0.010633799018803984,109.52812989368103,10300,6.0,Net-Zero 2050,2030,Low Risk (<20%)
Colombia,Huila,ssp126,mid_term,0.0168162102913484,0.0084081051456742,86.60348300044426,10300,6.0,Net-Zero 2050,2050,Low Risk (<20%)
Colombia,Huila,ssp245,near_term,0.03540787668060511,0.017703938340302556,182.35056490511633,10300,6.0,Delayed Transition,2030,Low Risk (<20%)
Colombia,Huila,ssp245,mid_term,0.027472401982173322,0.013736200991086661,141.48287020819262,10300,6.0,Delayed Transition,2050,Low Risk (<20%)
Colombia,Huila,ssp585,near_term,0.048499661537818615,0.024249830768909308,249.77325691976586,10300,6.0,Current Policies,2030,Low Risk (<20%)
Colombia,Huila,ssp585,mid_term,0.02080606544110924,0.01040303272055462,107.15123702171259,10300,6.0,Current Policies,2050,Low Risk (<20%)
Colombia,Antioquia,ssp126,near_term,0.053624884337419645,0.026812442168709823,252.03695638587234,9400,5.5,Net-Zero 2050,2030,Low Risk (<20%)
Colombia,Antioquia,ssp126,mid_term,0.07004189281980508,0.03502094640990254,329.1968962530839,9400,5.5,Net-Zero 2050,2050,Low Risk (<20%)
Colombia,Antioquia,ssp245,near_term,0.0949274745255243,0.04746373726276215,446.15913026996424,9400,5.5,Delayed Transition,2030,Low Risk (<20%)
Colombia,Antioquia,ssp245,mid_term,0.13425281870225445,0.06712640935112722,630.9882479005959,9400,5.5,Delayed Transition,2050,Low Risk (<20%)
Colombia,Antioquia,ssp585,near_term,0.10139355706027708,0.05069677853013854,476.5497181833023,9400,5.5,Current Policies,2030,Low Risk (<20%)
Colombia,Antioquia,ssp585,mid_term,0.1720769786334131,0.08603848931670655,808.7617995770415,9400,5.5,Current Policies,2050,Low Risk (<20%)
Colombia,Tolima,ssp126,near_term,0.040027310418803246,0.020013655209401623,120.08193125640973,6000,3.5,Net-Zero 2050,2030,Low Risk (<20%)
Colombia,Tolima,ssp126,mid_term,0.03311397484983317,0.016556987424916587,99.34192454949952,6000,3.5,Net-Zero 2050,2050,Low Risk (<20%)
Colombia,Tolima,ssp245,near_term,0.04253904838594608,0.02126952419297304,127.61714515783822,6000,3.5,Delayed Transition,2030,Low Risk (<20%)
Colombia,Tolima,ssp245,mid_term,0.043729852880490916,0.021864926440245458,131.18955864147276,6000,3.5,Delayed Transition,2050,Low Risk (<20%)
Colombia,Tolima,ssp585,near_term,0.040985147564345965,0.020492573782172983,122.9554426930379,6000,3.5,Current Policies,2030,Low Risk (<20%)
Colombia,Tolima,ssp585,mid_term,0.05685532104773444,0.02842766052386722,170.56596314320333,6000,3.5,Current Policies,2050,Low Risk (<20%)
Colombia,Cauca,ssp126,near_term,0.057267598037607975,0.028633799018803988,123.12533578085714,4300,2.5,Net-Zero 2050,2030,Low Risk (<20%)
Colombia,Cauca,ssp126,mid_term,0.0528162102913484,0.0264081051456742,113.55485212639906,4300,2.5,Net-Zero 2050,2050,Low Risk (<20%)
Colombia,Cauca,ssp245,near_term,0.07140787668060512,0.03570393834030256,153.52693486330102,4300,2.5,Delayed Transition,2030,Low Risk (<20%)
Colombia,Cauca,ssp245,mid_term,0.06347240198217333,0.03173620099108666,136.46566426167266,4300,2.5,Delayed Transition,2050,Low Risk (<20%)
Colombia,Cauca,ssp585,near_term,0.08449966153781863,0.04224983076890931,181.67427230631006,4300,2.5,Current Policies,2030,Low Risk (<20%)
Colombia,Cauca,ssp585,mid_term,0.05680606544110924,0.02840303272055462,122.13304069838487,4300,2.5,Current Policies,2050,Low Risk (<20%)
Brazil,Minas Gerais Sul,ssp126,near_term,0.06409321416384774,0.03204660708192387,439.038517022357,13700,8.0,Net-Zero 2050,2030,Low Risk (<20%)
Brazil,Minas Gerais Sul,ssp126,mid_term,0.07342787101454451,0.036713935507272255,502.9809164496299,13700,8.0,Net-Zero 2050,2050,Low Risk (<20%)
